DATES,rEER
201711,96.64856601
201712,95.82895307
201801,98.95651838
201802,99.52683311
201803,98.71548488
201804,99.47881403
201805,98.04159953
201806,97.75394453
201807,96.46584147
201808,97.13365012
201809,94.33293219
201810,94.84756015
201811,95.21357371
201812,94.71012814
201901,94.27386207
201902,97.0501401
201903,95.57501121
201904,95.9144792
201905,93.87144676
201906,93.39469998
201907,93.8707335
201908,92.34649229
201909,91.99054965
201910,91.41749572
201911,85.4038568
201912,85.01573422
202001,84.27932414
202002,83.43037461
202003,81.07695282
202004,81.43387689
202005,84.53677583
202006,85.74031879
202007,86.40046946
202008,85.28160293
202009,86.46210247
202010,84.9727157
202011,87.00295695
202012,88.09706879
202101,90.15867335
202102,90.37507674
202103,90.85559958
202104,93.07981039
202105,91.63852404
202106,89.60499593
202107,87.98490101
202108,85.2401289
202109,85.11412221
202110,83.02951574
202111,83.88947809
202112,81.23615749
